SEA,2003/11,74,1813,21,6250
SFO,2003/11,111,2640,12,7205
SLC,2003/11,105,1637,6,8454
TPA,2003/11,12,757,6,4647
ATL,2003/12,630,7284,12,23508
BOS,2003/12,820,2216,29,6539
BWI,2003/12,125,1652,15,6756
CLT,2003/12,134,1407,1,7468
DCA,2003/12,245,1223,4,5158
DEN,2003/12,110,2227,3,10319
DFW,2003/12,370,4485,30,24484
DTW,2003/12,226,2085,7,9396
EWR,2003/12,843,3870,29,8233
FLL,2003/12,57,1283,4,4050
IAD,2003/12,269,1519,10,6789
IAH,2003/12,90,2819,62,13841
JFK,2003/12,230,1421,14,4836
LAS,2003/12,104,2603,17,9709
LAX,2003/12,283,3619,17,15533

LGA,2003/12,689,2767,57,5548
MCO,2003/12,80,1614,10,6426
MDW,2003/12,115,1300,7,6050
MIA,2003/12,54,1283,7,4164
MSP,2003/12,200,2530,9,9291
ORD,2003/12,1034,12012,12,19638
PDX,2003/12,39,1096,10,3593
PHL,2003/12,263,2215,19,6582
PHX,2003/12,157,2272,9,11729
SAN,2003/12,88,1549,29,5482
SEA,2003/12,82,1980
SFO,2003/12,208,3474,12,6951
SLC,2003/12,401,2594,23,7791
TPA,2003/12,59,1119,3,4587
BOS,2004/01,468,1879,3,7783
ATL,2004/01,805,7749,18,25766
BWI,2004/01,206,1532,19,6875
CLT,2004/01,221,1412,16,7450
DCA,2004/01,336,1269,10,5916
DEN,2004/01,226,2603,8,9882
DFW,2004/01,572,5696,73,22974
DTW,2004/01,341,2566,11,8982
EWR,2004/01,548,2930,13,9260
FLL,2004/01,27,1340,7,4044
IAD,2004/01,279,1411,6,6937
IAH,2004/01,113,2638,16,13494
JFK,2004/01,128,1602,20,5076
LAS,2004/01,177,2614,6,9972
LAX,2004/01,359,3272,22,15595
LGA,2004/01,588,2710,5,7223
MCO,2004/01,49,1781,3,6673
MDW,2004/01,225,1681,61,5630
MIA,2004/01,70,1339,4,4199
MSP,2004/01,274,2804,9,9113

ORD,2004/01,2652,13072,52,16939
PDX,2004/01,531,961,34,3147
PHL,2004/01,287,1966,17,6932
PHX,2004/01,283,2414,12,11563
SAN,2004/01,102,1242,6,5826
SEA,2004/01,335,2211,37,6003
SFO,2004/01,283,3314,19,7130
SLC,2004/01,366,3234,12,7658
TPA,2004/01,35,1097,4,4671
ATL,2004/02,921,11538,30,19883
BOS,2004/02,164,1509,6,8217
BWI,2004/02,60,1293,8,6855
CLT,2004/02,167,1244,9,7075
DCA,2004/02,123,1019,5,6160
DEN,2004/02,114,1766,6,10032
DFW,2004/02,505,5318,97,21148
DTW,2004/02,204,1677,4,9578
EWR,2004/02,198,2561,8,9586
FLL,2004/02,12,1446,10,4031
IAD,2004/02,175,963,3,6897
IAH,2004/02,68,3270,17,12295
JFK,2004/02,45,1105,3,5416
LAS,2004/02,135,2839,23,9290
LAX,2004/02,253,2672,22,14963
LGA,2004/02,238,1934,13,7868
MCO,2004/02,24,1826,11,6477
MDW,2004/02,130,1167,14,5930
MIA,2004/02,26,1233,5,4092
MSP,2004/02,225,2660,19,8841
ORD,2004/02,984,9260,19,20707
PDX,2004/02,60,690,7,3558
PHL,2004/02,165,1572,7,6901
PHX,2004/02,177,2689,11,10775
SAN,2004/02,65,1100,9,5451
SEA,2004/02,112,1334,10,6558
SFO,2004/02,205,2366,11,7445
SLC,2004/02,193,2237,7,8348
TPA,2004/02,11,1250,10,4441
BOS,2004/03,263,1974,5,8679
BWI,2004/03,44,1440,0,7413
CLT,2004/03,81,1074,2,7982
DCA,2004/03,105,1089,3,6732
DEN,2004/03,80,1439,6,11354
DFW,2004/03,401,3370,78,25536
DTW,2004/03,160,2227,12,10208
EWR,2004/03,376,3629,48,9666
FLL,2004/03,23,1222,7,4819
ATL,2004/03,255,5408,33,29114
IAD,2004/03,120,1090,1,7584
IAH,2004/03,72,2856,12,14366
JFK,2004/03,69,1552,19,5415
LAS,2004/03,84,2281,12,11069
LAX,2004/03,228,2556,9,16704
LGA,2004/03,368,2375,84,8095
MCO,2004/03,14,1410,5,7698
MDW,2004/03,90,1426,18,6278
MIA,2004/03,14,874,9,4894
MSP,2004/03,209,2521,28,10126
ORD,2004/03,1085,11414,42,20676
PDX,2004/03,62,697,4,3988
PHL,2004/03,125,1990,16,7144
PHX,2004/03,138,2143,24,12405
SAN,2004/03,59,1091,15,6038
SEA,2004/03,77,1611,7,7088
SFO,2004/03,117,1652,16,9228
SLC,2004/03,79,1240,3,10224
TPA,2004/03,10,947,2,5291
ATL,2004/04,264,5704,29,28029
BOS,2004/04,106,1704,3,9002
BWI,2004/04,20,1448,4,7218
CLT,2004/04,42,1105,7,7699
DCA,2004/04,62,1013,7,6609
DEN,2004/04,74,1435,19,10998
DFW,2004/04,249,3096,28,25220
DTW,2004/04,117,1637,8,10632
EWR,2004/04,142,3463,14,9604
FLL,2004/04,6,1330,10,4561
IAD,2004/04,68,1339,11,7316
IAH,2004/04,92,2807,55,13712
JFK,2004/04,29,1513,19,5683
LAS,2004/04,63,2335,11,10471
LAX,2004/04,113,2460,18,16362
LGA,2004/04,174,2277,23,8222
MCO,2004/04,7,1664,10,7272
MDW,2004/04,34,1150,2,6402
MIA,2004/04,11,868,16,4639
MSP,2004/04,128,1574,42,10359
ORD,2004/04,456,7690,17,23928
PDX,2004/04,45,587,2,3978
PHL,2004/04,65,1935,12,7037
PHX,2004/04,150,1991,20,11957
SAN,2004/04,40,1019,28,5870
SEA,2004/04,48,1187,16,7402
SFO,2004/04,73,1496,5,9183
SLC,2004/04,79,1527,3,9463
TPA,2004/04,4,958,3,4900
ATL,2004/05,457,8802,72,25565
BOS,2004/05,225,2489,9,8262
BWI,2004/05,49,2037,37,6779
CLT,2004/05,80,1291,7,7479
DCA,2004/05,138,1476,25,5976
DEN,2004/05,106,2012,49,10653
DFW,2004/05,490,3820,113,25044
DTW,2004/05,269,2345,62,9629
EWR,2004/05,339,3872,53,8734
FLL,2004/05,10,1114,3,4283
IAD,2004/05,162,1769,36,7023
IAH,2004/05,390,3014,173,13661
JFK,2004/05,41,1604,30,5603
LAS,2004/05,67,2313,14,10883
LAX,2004/05,173,2976,15,16181
LGA,2004/05,299,2787,44,7572
MCO,2004/05,17,1712,3,7159
MDW,2004/05,52,1847,23,5807
MIA,2004/05,41,974,21,4547
MSP,2004/05,217,2209,46,9994
ORD,2004/05,1968,10964,236,19588
PDX,2004/05,36,781,1,3897
PHL,2004/05,169,2405,35,7074
PHX,2004/05,153,2020,21,12077
SAN,2004/05,40,1180,10,6014
SEA,2004/05,78,1845,11,7392
SFO,2004/05,86,2274,11,8786
SLC,2004/05,114,1684,5,9856
TPA,2004/05,12,1099,3,4723
ATL,2004/06,598,11719,134,21845
BOS,2004/06,241,2491,17,8527
BWI,2004/06,46,1994,13,6829
CLT,2004/06,77,1724,37,6816
DCA,2004/06,161,1612,31,5811
DEN,2004/06,113,3101,16,10173
DFW,2004/06,642,7857,284,19643
DTW,2004/06,232,2559,20,9522
EWR,2004/06,275,3383,50,9427
FLL,2004/06,14,1267,7,3830
IAD,2004/06,178,1956,27,6894
IAH,2004/06,291,5368,272,10921
JFK,2004/06,61,1697,19,5787
LAS,2004/06,102,3500,15,9472
LAX,2004/06,152,4192,15
LGA,2004/06,305,2397,64,7972
MCO,2004/06,23,2309,31,6472
MDW,2004/06,40,2036,6,5685
MIA,2004/06,39,1346,11,3938
MSP,2004/06,132,2674,41,9746
ORD,2004/06,849,8959,37,21453
PDX,2004/06,35,1054,4,3668
PHL,2004/06,217,2576,35,7070
PHX,2004/06,145,3079,12,10728
SAN,2004/06,29,1614,4,5485
SEA,2004/06,108,2477,9,7253
SFO,2004/06,120,2650,4,8283
SLC,2004/06,101,2202,26,9473
TPA,2004/06,11,1419,30,4246

BOS,2004/07,378,3114,15,8429
BWI,2004/07,90,2109,50,6933
CLT,2004/07,104,1467,10,7190
DCA,2004/07,257,1785,39,5769
DEN,2004/07,102,2737,67,11073
DFW,2004/07,561,4962,138,23856
DTW,2004/07,216,2369,10,10141
EWR,2004/07,629,4151,92,8924
FLL,2004/07,18,1335,20,3810
IAD,2004/07,384,2914,44,8536
IAH,2004/07,100,2993,88,14297
JFK,2004/07,90,2469,23,5726
LAS,2004/07,88,3065,13,10273
LAX,2004/07,194,3849,12,16285
LGA,2004/07,619,2993,61,7225
MCO,2004/07,38,2307,24,6903
MDW,2004/07,77,2031,18,5801
MIA,2004/07,37,1425,11,4035
MSP,2004/07,174,2434,40,10379
ORD,2004/07,1037,7917,110,22767
PDX,2004/07,33,941,1,4006
PHL,2004/07,323,2866,86,7228
PHX,2004/07,137,2732,8,11311
SAN,2004/07,41,1584,6,5786
ATL,2004/07,475,9202,101,26116
SEA,2004/07,56,2234,5,8075
SFO,2004/07,120,2483,4,8869
SLC,2004/07,71,1756,7,10312
TPA,2004/07,19,1324,13,4529
ATL,2004/08,570,7672,64,28055
BOS,2004/08,320,2575,13,9145
BWI,2004/08,100,1812,25,7308
CLT,2004/08,156,1394,13,7259
DCA,2004/08,258,1414,28,6340
DEN,2004/08,110,2320,31,11610
DFW,2004/08,596,5497,59,23509
DTW,2004/08,183,1860,20,10742
EWR,2004/08,421,3474,42,10124
FLL,2004/08,41,1383,18,3805
IAD,2004/08,432,3069,54,9991
IAH,2004/08,120,2322,42,15007
JFK,2004/08,145,2371,44,6106
LAS,2004/08,88,3283,16,10127
LAX,2004/08,171,3981,9,16350
LGA,2004/08,474,2340,52,7988
MCO,2004/08,406,2198,38,6714
MDW,2004/08,85,1647,13,6330
MIA,2004/08,119,1393,21,3972
MSP,2004/08,128,2096,15,10890
ORD,2004/08,907,7092,43,24356
PDX,2004/08,26,1035,1,3936
PHL,2004/08,282,2741,54,7569
PHX,2004/08,134,3081,47,11029
SAN,2004/08,30,1643,5,5852
SEA,2004/08,75,2441,7,7885
SFO,2004/08,117,2717,7,8611
SLC,2004/08,89,1668,9,10373
TPA,2004/08,215,1279,38,4349
ATL,2004/09,2164,7430,178,24842
BOS,2004/09,357,1510,5,9185
BWI,2004/09,250,1012,4,7449
CLT,2004/09,314,943,1,7457
DCA,2004/09,270,1002,16,6583
DEN,2004/09,149,1023,6,11526
DFW,2004/09,581,2001,83,25359
DTW,2004/09,185,1234,20,10313
EWR,2004/09,463,2939,25,9094
FLL,2004/09,762,825,13,3275
IAD,2004/09,445,2513,26,11011
IAH,2004/09,273,1035,11,14798
JFK,2004/09,304,1364,10,6170
LAS,2004/09,156,1873,37,10990
LAX,2004/09,316,2219,74,16535
LGA,2004/09,459,1996,28,7728
MCO,2004/09,1460,1167,3,5706
MDW,2004/09,133,718,3,6576
MIA,2004/09,709,709,4,3521
MSP,2004/09,142,1257,18,10027
ORD,2004/09,539,2528,19,27065
PDX,2004/09,41,620,6,3886
PHL,2004/09,419,1853,24,8000
PHX,2004/09,187,1601,23,11951
SAN,2004/09,81,885,31,6090
SEA,2004/09,75,1449,12,7649
SFO,2004/09,155,1370,6,9146
SLC,2004/09,132,1150,3,10264
TPA,2004/09,616,695,21,4049
ATL,2004/10,420,9034,17,26252
BOS,2004/10,151,1911,15,9481
BWI,2004/10,51,1132,3,7952
CLT,2004/10,77,1183,15,8122
DCA,2004/10,90,1077,7,7040
DEN,2004/10,111,1502,3,11483
DFW,2004/10,471,4965,83,23427
DTW,2004/10,97,1773,14,10479
EWR,2004/10,154,2720,15,10621
FLL,2004/10,6,784,19,4954
IAD,2004/10,333,2731,15,11687
IAH,2004/10,68,1797,22,14942
JFK,2004/10,56,1343,4,6731
LAS,2004/10,126,3205,11,10250
LAX,2004/10,219,3793,18,15712
LGA,2004/10,127,1962,15,8653
MCO,2004/10,19,1167,1,8140
MDW,2004/10,34,1065,5,6643
MIA,2004/10,32,641,1,4570
MSP,2004/10,85,1877,17,9980
ORD,2004/10,442,5183,19,25100
PDX,2004/10,33,815,10,3736
PHL,2004/10,149,2592,36,8541
PHX,2004/10,114,3210,18,11109
SAN,2004/10,68,1676,24,5556
SEA,2004/10,100,1474,6,7515
SFO,2004/10,180,2601,12,8179
SLC,2004/10,153,1531,1,10066
TPA,2004/10,8,789,3,5061
ATL,2004/11,583,10182,54,23387
BOS,2004/11,182,1965,7,8593
BWI,2004/11,51,1314,2,7222
CLT,2004/11,69,1503,7,7625
DCA,2004/11,86,1188,9,6446
DEN,2004/11,124,1786,12,10179
DFW,2004/11,520,5449,68,21461
DTW,2004/11,97,1802,5,10070
EWR,2004/11,127,3507,21,9297
FLL,2004/11,7,997,5,4769
IAD,2004/11,175,2410,9,10782
IAH,2004/11,270,3795,146,12368
JFK,2004/11,35,1345,5,6424
LAS,2004/11,107,2871,25,10180
LAX,2004/11,157,2756,24,16060
LGA,2004/11,148,2374,27,7988
MCO,2004/11,23,1448,2,8196
MDW,2004/11,37,1223,21,5988
MIA,2004/11,27,811,3,4432
MSP,2004/11,91,1417,11,9995
ORD,2004/11,666,6246,29,21736
PDX,2004/11,76,831,21,3418
PHL,2004/11,134,2697,23,8574
PHX,2004/11,116,2918,9,10897
SAN,2004/11,32,1199,6,5819
SEA,2004/11,136,1812,24,6439
SFO,2004/11,192,1691,8
SLC,2004/11,154,1533,8,9532
TPA,2004/11,23,1073,6,5512
ATL,2004/12,921,9402,42,25088
BOS,2004/12,488,2650,29,7822
BWI,2004/12,125,1944,10,6892
CLT,2004/12,205,2106,8,7321
DCA,2004/12,273,1730,10,5940
DEN,2004/12,194,2737,9,10043
DFW,2004/12,559,5427,50,22086

DTW,2004/12,214,2695,4,9050
